n,time,r
1277,478518,3676
1278,372282,3676
1279,193777,3676
1280,448336,3676
1281,1254896,3727
1282,285292,3727
1283,1053068,3727
1284,249874,3727
1285,233592,3727
1286,244076,3727
1287,237066,3727
1288,273236,3727
1289,192114,3727
1290,230657,3727
1291,239089,3727
1292,239188,3727
1293,232399,3727
1294,190392,3727
1295,349941,3727
1296,325447,3727
1297,484877,3727
1298,606083,3727
1299,229496,3727
1300,336883,3727
1301,240541,3727
1302,473921,3727
1303,498376,3727
1304,191854,3727
1305,212202,3727
1306,196060,3727
1307,707113,3727
1308,222536,3727
1309,190242,3727
1310,269521,3727
1311,230958,3727
1312,219182,3727
1313,276400,3727
1314,270823,3727
1315,383498,3727
1316,775256,3727
1317,252137,3727
1318,190512,3727
1319,358743,3727
1320,675610,3727
1321,290590,3727
1322,226191,3727
1323,270833,3727
1324,340368,3727
1325,356780,3727
1326,368467,3727
1327,192535,3727
1328,914538,3727
1329,1112079,3727
1330,247200,3727
1331,191093,3727
1332,206484,3727
1333,320481,3727
1334,493939,3727
1335,274648,3727
1336,270171,3727
1337,310027,3727
1338,263542,3727
1339,349070,3727
1340,261870,3727
1341,234984,3727
1342,201778,3727
1343,345124,3727
1344,234102,3727
1345,469435,3727
1346,192715,3727
1347,873872,3727
1348,199664,3727
1349,203290,3727
1350,436331,3727
1351,211340,3727
1352,195058,3727
1353,744394,3727
1354,191694,3727
1355,289988,3727
1356,346176,3727
1357,217138,3727
1358,215176,3727
1359,191593,3727
1360,302887,3727
1361,559540,3727
1362,219512,3727
1363,762979,3727
1364,950478,3727
1365,228724,3727
1366,216768,3727
1367,451891,3727
1368,189421,3727
1369,235303,3727
1370,193807,3727
1371,280045,3727
1372,215917,3727
1373,404356,3727
1374,1837006,3764
1375,310657,3764
1376,488632,3764
1377,510282,3764
1378,201587,3764
1379,425955,3764
1380,244566,3764
1381,195739,3764
1382,233451,3764
1383,253679,3764
1384,256653,3764
1385,212903,3764
1386,189811,3764
1387,414059,3764
1388,192625,3764
1389,268700,3764
1390,254069,3764
1391,351443,3764
1392,289609,3764
1393,234142,3764
1394,223588,3797
1395,193756,3797
1396,315815,3797
1397,242904,3797
1398,188450,3797
1399,721543,3797
1400,292643,3797
1401,243175,3797
1402,194958,3797
1403,387393,3797
1404,211821,3797
1405,192895,3797
1406,209018,3797
1407,215536,3797
1408,275138,3797
1409,188028,3797
1410,231939,3797
1411,210610,3797
1412,220633,3797
1413,199334,3797
1414,746367,3797
1415,283340,3797
1416,193496,3797
1417,426756,3797
1418,337474,3797
1419,192405,3797
1420,215196,3797
1421,1425581,3797
1422,541244,3797
1423,241122,3797
1424,433586,3797
1425,191153,3797
1426,301244,3797
1427,1819642,3797
1428,327089,3797
1429,249433,3797
1430,419127,3797
1431,309917,3797
1432,349431,3797
1433,332367,3797
1434,197371,3797
1435,232680,3797
1436,408101,3797
1437,256152,3797
1438,1136603,3904
1439,323665,3904
1440,304599,3904
1441,199114,3904
1442,241082,3904
1443,226762,3904
1444,213714,3904
1445,187778,3904
1446,246579,3904
1447,533433,3904
1448,233481,3904
1449,281487,3904
1450,414760,3904
1451,549946,3904
1452,863828,3904
1453,411255,3904
1454,481081,3904
1455,307442,3904
1456,548023,3904
1457,182832,3904
1458,391779,3904
1459,404577,3904
1460,195649,3904
1461,281377,3904
1462,238658,3904
1463,329003,3904
1464,231879,3904
1465,333759,3904
1466,336333,3904
1467,383597,3904
1468,819547,3904
1469,196030,3904
1470,225160,3904
1471,195999,3904
1472,676110,3904
1473,241873,3904
1474,357611,3904
1475,202878,3904
1476,669942,3904
1477,273206,3904
1478,209729,3904
1479,580328,3904
1480,190382,3904
1481,312721,3904
1482,263342,3904
1483,230377,3904
1484,321292,3904
1485,188159,3904
1486,334931,3904
1487,213473,3904
1488,205693,3904
1489,230007,3904
1490,210039,3904
1491,983833,3904
1492,350582,3904
1493,314743,3904
1494,224940,3904
1495,202709,3904
1496,870868,3904
1497,214535,3904
1498,1725373,3904
1499,268629,3904
1500,212292,3904
1501,302697,3904
1502,191864,3904
1503,240601,3904
1504,218410,3904
1505,458080,3904
1506,225930,3904
1507,330544,3904
1508,809062,3904
1509,253839,3904
1510,195899,3904
1511,320771,3904
1512,252968,3951
1513,190653,3951
1514,290820,3951
1515,234061,3951
1516,258426,3951
1517,658837,3951
1518,198523,3951
1519,188860,3951
1520,634933,3951
1521,750502,3951
1522,215937,3951
1523,211622,3951
1524,451591,3951
1525,248622,3951
1526,551589,3951
1527,317567,3951
1528,266266,3951
1529,332377,3951
1530,501480,3951
1531,216988,3951
1532,198113,3951
1533,540534,3951
1534,620804,3951
1535,248642,3951
1536,1511749,3951
1537,234203,3951
1538,605713,3951
1539,194868,3951
1540,309055,3951
1541,410224,3951
1542,425735,3951
1543,192315,3951
1544,220473,3951
1545,344985,3951
1546,273125,3951
1547,244547,3951
1548,420699,3951
1549,423492,3951
1550,221645,3951
1551,361877,3951
1552,236395,3951
1553,417664,3951
1554,313231,3951
1555,266927,3951
1556,179046,3951
1557,209808,3951
1558,803365,3951
1559,407540,3951
1560,192695,3951
1561,350782,3951
1562,352785,3951
1563,541245,3951
1564,306211,3951
1565,205613,3951
1566,1280551,3951
1567,297199,3951
1568,279484,3951
