n,time,memory,collisions
3801,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3851,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3901,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3951,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4001,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4051,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4101,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4151,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4201,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4251,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4301,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4351,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4401,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4451,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4501,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4551,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4601,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4651,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4701,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4751,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4801,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4851,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4901,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
4951,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
