n,time,fn
763,11226410,5628
764,11441574,5569
765,11477571,5187
766,11602154,5556
767,12010330,5894
768,11653440,5448
769,12597371,5185
770,13714615,5866
771,11777754,5451
772,11940208,5082
773,11716660,5421
774,11737227,5327
775,11845390,5835
776,11808210,5797
777,11499912,6730
778,12141165,5797
779,12259156,6025
780,12175049,5949
781,11843057,5774
782,12291417,5090
783,12521758,6014
784,12053380,5859
785,11907257,5556
786,12313108,5648
787,12263654,6323
788,12201017,5661
789,12402565,5947
790,12263916,6059
791,12221725,5768
792,12400671,5994
793,12400031,5600
794,12236534,5839
795,12284924,6018
796,12655600,5334
797,12826020,5435
798,12493325,5821
799,12850274,6073
800,12564939,5990
801,12419106,5837
802,13158663,6179
803,12641343,5932
804,12913423,5749
805,12970070,5989
806,13034580,5932
807,13066590,6258
808,12551144,5719
809,13579702,6014
810,12961884,5615
811,13171287,5932
812,13584722,5962
813,12904016,6134
814,13204479,6046
815,13350643,5663
816,13147021,5935
817,13055490,5919
818,13132634,6193
819,13074315,5643
820,13384226,5821
821,13515401,6028
822,12974588,6277
823,13033759,5809
824,13458165,6173
825,13309495,6133
826,13499582,6026
827,13557560,5790
828,13671976,6006
829,13705769,5987
830,13795016,6175
831,13669491,6154
832,13701541,5890
833,13693576,5849
834,13637672,5837
836,13668789,6056
837,13554816,6188
838,13774968,6910
839,13785258,5941
840,13967720,6360
841,13968202,6518
842,13979271,6270
843,13662938,5314
844,13739131,5629
845,14036038,5721
846,14145413,6127
847,14100829,5808
848,14139461,5753
849,13860639,5981
850,14109005,7021
851,14432020,5761
852,14536025,6248
853,14138219,6293
854,14383449,5655
855,14188143,5848
856,14330721,6522
857,14385563,6421
858,14518252,6538
859,14424567,5772
860,14497884,6307
861,14573986,6098
862,14652794,6463
863,14335790,6107
864,14351509,6440
865,14933391,5864
866,14666961,6155
867,14915648,5965
868,15082711,6401
869,14980658,6187
870,15303795,6368
871,15024591,6457
872,14976541,6373
873,15079545,6647
874,14872707,6278
875,14847800,5870
876,15889714,6028
877,15009683,6518
878,14835737,5952
879,15246027,6440
880,15123427,5861
881,15400536,6748
882,15252529,6461
883,15400546,6387
884,15452584,6349
885,14946044,6454
886,15555357,6287
887,16120616,6081
888,15534298,6846
889,15711059,6633
890,15578310,6018
891,15507717,6608
892,15983098,6496
893,15291612,6673
894,15629605,6416
895,16134001,6905
896,15830974,6811
897,16040136,6676
898,15945799,6748
899,15813922,6565
900,16308629,6768
901,15964984,6830
902,16385583,5937
903,16116569,5898
904,16137848,6643
905,16730931,7271
906,15760351,6927
907,16205235,6644
908,16342072,6425
909,16219903,6547
910,16463600,6387
911,16429946,6608
912,16499497,6691
913,16609242,6702
914,16435677,6313
915,17080887,6537
916,16410319,6643
917,16456727,6883
918,17021827,6337
919,16594255,6908
920,16640351,6492
921,16724519,6471
922,16844664,6924
923,16370786,7287
924,16678372,6635
925,16646653,7250
926,17060198,6742
927,16891803,6713
928,16649328,6682
929,16967755,7376
930,17318272,6868
931,17068845,7322
932,17227633,7088
933,17198588,6716
934,16862869,6949
935,16847810,6668
936,16377488,6655
937,17327490,6743
938,16878898,6554
939,17542012,6585
940,16893455,6661
941,17361524,6899
942,16818575,7011
943,16992291,6767
944,16616846,7610
945,16873989,7042
946,16473729,7335
947,17153553,6963
948,17204659,6990
949,17332349,6263
950,17053887,7032
951,16985869,6097
952,17337719,7012
953,17524569,6879
954,17374798,7451
955,17717822,7182
956,17963332,6883
957,18240160,6851
958,18263294,7076
959,20083698,6798
960,18767910,7099
961,18887004,6472
962,18719189,6953
963,19516845,6786
964,18786175,6518
965,21271385,7275
966,19227723,7102
967,18332704,6549
968,19256326,7137
969,19239575,6693
970,17926112,7102
971,18347171,6513
972,18174397,6828
973,18589075,6953
974,18149742,6920
975,18001223,7793
976,18686367,7195
977,18103244,7673
978,18446729,6446
979,18227858,7263
980,18278422,7384
981,18946786,6965
982,18666300,7130
983,18933360,6944
984,18678653,7079
985,18675207,7248
986,18592681,7181
987,18760756,6946
988,18996609,7472
989,19477170,7220
990,18892845,7096
991,19169163,7060
992,18939602,7624
993,19456441,7497
994,18936165,7261
995,19395788,7211
996,20547317,7451
997,19975374,7284
998,20022653,7466
999,19234696,7318
1000,19615139,7405
