n,time,r
814,31243108,2937
815,66597770,2937
816,3035214,2937
817,783345115,2937
818,2768267,2937
819,46559391,2937
820,16665649,2937
821,110789204,2937
822,236633112,2937
823,358930173,2937
824,63866272,2937
825,102301462,2937
826,3020975,2937
827,117175407,2937
828,6767126,2937
829,15605923,2937
830,2839145,2937
831,25725489,2937
832,2645969,2937
833,3062241,2937
834,5481909,2937
835,3006284,2937
836,5229392,2937
837,2829471,2937
838,33417197,2937
839,3035635,2937
840,3594183,2937
841,50672568,2937
842,1826899055,2943
843,5507274,2943
844,3035014,2943
845,2761989,2943
846,110235753,2943
847,2938921,2943
848,5196276,2943
849,42579087,2943
850,63930791,2943
851,1071760171,2943
852,80005108,2943
853,416817093,2976
854,3841182,2976
855,3807676,3062
856,71858815,3062
857,90464813,3062
858,1248998230,3179
859,3940239,3179
860,3530766,3179
861,2949276,3179
862,241157765,3179
863,3462322,3179
864,127333697,3179
865,3179032,3179
866,730358014,3179
867,114121848,3179
868,78014070,3179
869,71612256,3179
870,75003780,3179
871,3136944,3179
872,87753193,3179
873,130981493,3179
874,166170227,3179
875,2973810,3179
876,359876885,3179
877,396478872,3179
878,3432311,3179
879,39602624,3179
880,212187334,3179
881,3254065,3179
882,3017479,3179
883,81813455,3179
884,241003603,3179
885,37037276,3179
886,3155850,3179
887,847072306,3179
888,163029919,3179
889,3401618,3179
890,3075950,3179
891,3222642,3179
892,40261811,3179
893,3244913,3179
894,122581682,3179
895,3642829,3179
896,3456283,3179
897,1594364539,3179
898,3113282,3179
899,82556166,3179
900,51751101,3179
901,29348722,3179
902,3341996,3179
903,6232781,3179
904,319758802,3179
905,3178101,3179
906,18327715,3179
907,381303342,3179
908,52465273,3179
909,3635880,3179
910,329559130,3179
911,224163894,3179
912,6437634,3179
913,3469892,3179
914,37394608,3179
915,3712175,3179
916,3299537,3179
917,171652897,3179
918,30740056,3179
919,929074151,3179
920,180065868,3179
921,3516686,3179
922,179626243,3179
923,3391845,3239
924,458253128,3239
925,6910133,3239
926,3937685,3239
927,50951733,3239
928,3593101,3239
929,60861020,3239
930,324417429,3239
931,3693379,3239
932,3417801,3239
933,173022791,3239
934,163806377,3239
935,3337070,3239
936,6655823,3239
937,1594003352,3258
938,116024654,3258
939,40849128,3258
940,541918360,3258
941,460142907,3258
942,3410982,3258
943,4007221,3258
944,3619669,3258
945,3503538,3258
946,53439183,3258
947,80185186,3258
948,143627535,3258
949,83827033,3258
950,222157415,3258
951,1100620742,3258
952,127549204,3258
953,7921805,3258
954,3484962,3258
955,148526964,3258
956,163262138,3258
957,17590202,3258
958,494894269,3258
959,7186213,3258
960,3752501,3258
961,360179551,3258
962,3347343,3283
963,3576648,3283
964,6805509,3283
965,3570310,3283
966,6782688,3283
967,462866783,3283
968,1054169009,3283
969,574795655,3283
970,306501280,3283
971,49248260,3283
972,5828756,3283
973,11225058,3283
974,5610075,3283
975,328966014,3283
976,104533892,3283
977,724491986,3290
978,5444368,3290
979,5755986,3290
980,326567335,3290
981,11181267,3290
982,5754635,3290
983,5684478,3290
984,5751200,3290
985,827500871,3290
986,1408695816,3290
987,202986811,3290
988,151754873,3290
989,59312149,3290
990,119321839,3290
991,172888026,3290
992,5432140,3290
993,175121398,3290
994,7117518,3290
995,520563041,3290
996,5740816,3290
997,940916337,3290
998,137930851,3290
999,152952209,3290
1000,40924161,3290
1001,6088753,3290
1002,5531147,3290
1003,1377495837,3290
1004,505207042,3290
1005,149733843,3290
1006,2255748506,3290
1007,7093876,3290
1008,567600910,3290
1009,5765489,3290
1010,5840752,3290
1011,39258310,3290
1012,6026137,3290
1013,1537611078,3349
1014,5813986,3349
